case_id,y_left,y_right,torque_over_normal,initial_margin,failure_score,dy_left,dy_right,delta_difference,repair_sign,field_l2,field_success,scalar_random_success,scalar_global_success,no_repair_success
29,0.17285922498728634,0.36368943468866943,-0.7350816842656538,-0.6159118939670369,0.9999474971344376,0.30795594698351847,-0.30795594698351847,-0.6159118939670369,-1,0.43551547683754166,1.0,1.0,1.0,0.0
30,-0.24417934020503207,-0.7037837135599672,-0.09755880126464145,-0.052045572090293646,0.6969316855371404,-0.026022786045146823,0.026022786045146823,0.052045572090293646,1,0.036801776955779957,1.0,1.0,0.0,0.0
31,0.39895490488211705,0.3599199955810508,0.7638383008650698,-0.492873210166136,0.9996241600887589,-0.246436605083068,0.246436605083068,0.492873210166136,1,0.34851398917365717,1.0,1.0,0.0,0.0
32,-0.040830731852530944,-0.4117086444781686,0.30557414744832645,-0.3664520600739641,0.9971660136970153,-0.18322603003698204,0.18322603003698204,0.3664520600739641,1,0.2591207366580801,1.0,1.0,0.0,0.0
33,0.562144562021951,-0.5586953030718183,0.16141582641015417,-0.9722556915039233,0.9999998245814913,-0.48612784575196166,0.48612784575196166,0.9722556915039233,1,0.6874885925096401,1.0,1.0,0.0,0.0
34,-0.16057117484224892,0.022204045146265727,-0.6767240184438064,-0.549499238432321,0.9998480774564645,0.2747496192161605,-0.2747496192161605,-0.549499238432321,-1,0.3885546377523377,1.0,1.0,1.0,0.0
35,0.6895967797307412,-0.36135536512169175,0.20154808420165504,-0.9425002290540878,0.9999997176176822,-0.4712501145270439,0.4712501145270439,0.9425002290540878,1,0.6664483032340198,1.0,0.0,0.0,0.0
36,-0.12036668151637964,-0.7229501713126101,0.11010523529425198,-0.4026887250904824,0.9984109357049261,-0.2013443625452412,0.2013443625452412,0.4026887250904824,1,0.28474392821884553,1.0,0.0,0.0,0.0
37,-0.5391459315579986,-0.6648285062652054,-0.8862431321275708,-0.450560557420364,0.9992606273967305,0.225280278710182,-0.225280278710182,-0.450560557420364,-1,0.3185944254871302,1.0,1.0,1.0,0.0
38,-0.5082524772281487,-0.6061920845502252,0.2566438253234671,-0.0445834326455436,0.6711376365309322,-0.0222917163227718,0.0222917163227718,0.0445834326455436,1,0.031525247552237574,1.0,1.0,0.0,0.0
39,0.7417878498892547,-0.4012892389982849,-0.10507483527257622,-0.7280022536149633,0.9999912638834175,-0.36400112680748165,0.36400112680748165,0.7280022536149633,1,0.5147753302502293,1.0,1.0,0.0,0.0
40,0.4503111834515945,0.31424745574402446,-0.46244235187273347,-0.016378624165163447,0.5651421230392228,0.008189312082581723,-0.008189312082581723,-0.016378624165163447,-1,0.011581436213692928,1.0,1.0,1.0,0.0
41,-0.11547461585621766,0.039284915670876885,-0.940832915998106,-0.7855924475252005,0.9999965234934625,0.39279622376260026,-0.39279622376260026,-0.7855924475252005,-1,0.5554977468940063,1.0,0.0,1.0,0.0
42,-0.696750882438353,-0.1369103734168886,-0.7387675622630456,-0.98860807128451,0.9999998649646547,0.494304035642255,-0.494304035642255,-0.98860807128451,-1,0.6990514711410307,1.0,0.0,1.0,0.0
43,-0.47735988254936207,-0.40271185593428876,-0.5370280940351175,-0.30167612065019084,0.9920517061256567,0.15083806032509542,-0.15083806032509542,-0.30167612065019084,-1,0.213317230633801,1.0,0.0,1.0,0.0
44,0.21263813652101204,-0.4313253870082654,0.7724690857901966,-1.1064326093194738,0.9999999795016568,-0.5532163046597369,0.5532163046597369,1.1064326093194738,1,0.7823660009757261,1.0,1.0,0.0,0.0
45,0.01725201332557158,0.12161445906023927,-0.8526539871489229,-0.6470164328835906,0.9999680805445735,0.3235082164417953,-0.3235082164417953,-0.6470164328835906,-1,0.45750970723111756,1.0,0.0,1.0,0.0
46,-0.12297541727631545,0.0375967984796427,-0.6056723844321741,-0.45624460018813223,0.9993248589811111,0.22812230009406612,-0.22812230009406612,-0.45624460018813223,-1,0.3226136506727735,1.0,0.0,1.0,0.0
47,-0.6093198173125225,0.4539828130580792,-0.254250463567544,-1.0075530939381456,0.9999999002750164,0.5037765469690728,-0.5037765469690728,-1.0075530939381456,-1,0.7124476251291493,1.0,1.0,1.0,0.0
48,0.028814535148478315,0.632175521387804,0.2099696404957574,-0.08339134574356827,0.7915446684662704,0.041695672871784134,-0.041695672871784134,-0.08339134574356827,-1,0.05896658606754906,1.0,0.0,1.0,0.0
49,-0.3156288487047551,0.7252816103299782,-0.24276925112514525,-0.9736797101598786,0.9999998285330901,0.4868398550799393,-0.4868398550799393,-0.9736797101598786,-1,0.6884955257578023,1.0,1.0,1.0,0.0
50,-0.7214173427855931,0.27796600847230435,-0.757792436335002,-1.4471757875928994,0.9999999999120992,0.7235878937964497,-0.7235878937964497,-1.4471757875928994,-1,1.0233078129759219,1.0,0.0,1.0,0.0
51,-0.2911164589406027,0.5109175306782612,0.3278863338250555,-0.16414765579380836,0.9325390737383009,0.08207382789690418,-0.08207382789690418,-0.16414765579380836,-1,0.11606992052767717,1.0,0.0,1.0,0.0
52,-0.7264168916784928,-0.07286481119702648,-0.16971868641033683,-0.5132707668918031,0.9997287863091656,0.25663538344590153,-0.25663538344590153,-0.5132707668918031,-1,0.36293723985401366,1.0,0.0,1.0,0.0
53,-0.021205583996998234,-0.4376296599633035,0.16861561809299586,-0.2750396940593011,0.9878791720642469,-0.13751984702965056,0.13751984702965056,0.2750396940593011,1,0.19448243276480523,1.0,1.0,0.0,0.0
