suite,baseline,seed,case_id,contact_count,positive_prior,noise_scale,mask_rate,limit_scale,active_count,error_sign,initial_error,initial_margin,field_feasible,success,post_margin,effort,field_effort,disagreement_l2,correct_direction,clipped
biased_scalar_grid,signed_margin,500,6,4,0.5,0.0,0.0,1.0,4,1,0.41211095982412016,-0.20661362871574515,1.0,1.0,2.7755575615628914e-17,0.12956287687671197,0.12956287687671197,0.0,1.0,0.0
biased_scalar_grid,counterfactual_field,500,6,4,0.5,0.0,0.0,1.0,4,1,0.41211095982412016,-0.20661362871574515,1.0,1.0,2.7755575615628914e-17,0.12956287687671197,0.12956287687671197,0.0,1.0,0.0
biased_scalar_grid,scalar_random_sign,500,7,4,0.5,0.0,0.0,1.0,4,1,0.4043471564494965,-0.19071444144182564,1.0,0.0,-0.38142888288365123,0.0917329678193106,0.0917329678193106,0.28658147469936646,0.0,0.0
biased_scalar_grid,scalar_global_sign,500,7,4,0.5,0.0,0.0,1.0,4,1,0.4043471564494965,-0.19071444144182564,1.0,1.0,5.551115123125783e-17,0.0917329678193106,0.0917329678193106,0.0,1.0,0.0
biased_scalar_grid,scalar_prior_sample,500,7,4,0.5,0.0,0.0,1.0,4,1,0.4043471564494965,-0.19071444144182564,1.0,0.0,-0.38142888288365123,0.0917329678193106,0.0917329678193106,0.28658147469936646,0.0,0.0
biased_scalar_grid,signed_margin,500,7,4,0.5,0.0,0.0,1.0,4,1,0.4043471564494965,-0.19071444144182564,1.0,1.0,5.551115123125783e-17,0.0917329678193106,0.0917329678193106,0.0,1.0,0.0
biased_scalar_grid,counterfactual_field,500,7,4,0.5,0.0,0.0,1.0,4,1,0.4043471564494965,-0.19071444144182564,1.0,1.0,5.551115123125783e-17,0.0917329678193106,0.0917329678193106,0.0,1.0,0.0
biased_scalar_grid,scalar_random_sign,500,8,4,0.5,0.0,0.0,1.0,4,1,0.4661333231085646,-0.3899492912317426,1.0,1.0,-1.3877787807814457e-17,0.19606422874260368,0.19606422874260368,0.0,1.0,0.0
biased_scalar_grid,scalar_global_sign,500,8,4,0.5,0.0,0.0,1.0,4,1,0.4661333231085646,-0.3899492912317426,1.0,1.0,-1.3877787807814457e-17,0.19606422874260368,0.19606422874260368,0.0,1.0,0.0
biased_scalar_grid,scalar_prior_sample,500,8,4,0.5,0.0,0.0,1.0,4,1,0.4661333231085646,-0.3899492912317426,1.0,1.0,-1.3877787807814457e-17,0.19606422874260368,0.19606422874260368,0.0,1.0,0.0
